image_stem,before_matches,after_matches,delta_matches,before_empty_holes,after_empty_holes,delta_empty_holes
IMG_20230612_161330_instances_with_polygon,186,186,0,14,14,0
IMG_20230612_161656_instances_with_polygon,189,189,0,11,11,0
IMG_20230612_162308_instances_with_polygon,180,186,6,20,14,-6
IMG_20230613_195927_instances_with_polygon,169,178,9,31,22,-9
IMG_20230613_200341_instances_with_polygon,186,186,0,14,14,0
IMG_20230613_200721_instances_with_polygon,189,189,0,11,11,0
IMG_20230613_201025_instances_with_polygon,184,185,1,16,15,-1
IMG_20230719_191057_instances_with_polygon,152,153,1,48,47,-1
IMG_20230719_191406_instances_with_polygon,169,169,0,31,31,0
IMG_20230719_191646_instances_with_polygon,154,163,9,46,37,-9
IMG_20230719_191920_instances_with_polygon,146,161,15,54,39,-15
IMG_20230720_184327_instances_with_polygon,147,151,4,53,49,-4
IMG_20230720_184736_instances_with_polygon,165,167,2,35,33,-2
IMG_20230720_185019_instances_with_polygon,152,160,8,48,40,-8
IMG_20230720_185320_instances_with_polygon,149,164,15,51,36,-15
IMG_20230721_184043_instances_with_polygon,141,160,19,59,40,-19
IMG_20230721_184513_instances_with_polygon,158,170,12,42,30,-12
IMG_20230721_184800_instances_with_polygon,150,158,8,50,42,-8
IMG_20230816_190329_instances_with_polygon,174,174,0,26,26,0
IMG_20230816_190743_instances_with_polygon,183,184,1,17,16,-1
IMG_20230816_191215_instances_with_polygon,152,159,7,48,41,-7
IMG_20230816_191703_instances_with_polygon,184,184,0,16,16,0
IMG_20230817_222251_instances_with_polygon,174,174,0,26,26,0
IMG_20230817_222556_instances_with_polygon,182,182,0,18,18,0
IMG_20230817_222941_instances_with_polygon,148,155,7,52,45,-7
IMG_20230817_223325_instances_with_polygon,183,183,0,17,17,0
IMG_20230818_210538_instances_with_polygon,174,174,0,26,26,0
IMG_20230818_211043_instances_with_polygon,183,183,0,17,17,0
IMG_20230818_211548_instances_with_polygon,149,149,0,51,51,0
IMG_20230818_212012_instances_with_polygon,184,184,0,16,16,0
IMG_20230819_202626_instances_with_polygon,174,174,0,26,26,0
IMG_20230819_203159_instances_with_polygon,182,182,0,18,18,0
IMG_20230819_203702_instances_with_polygon,154,154,0,46,46,0
IMG_20230819_204104_instances_with_polygon,184,183,-1,16,17,1
IMG_20230820_204205_instances_with_polygon,163,164,1,37,36,-1
IMG_20230820_204627_instances_with_polygon,154,156,2,46,44,-2
IMG_20230820_205056_instances_with_polygon,187,188,1,13,12,-1
IMG_20230821_200206_instances_with_polygon,163,164,1,37,36,-1
IMG_20230821_200606_instances_with_polygon,149,154,5,51,46,-5
IMG_20230821_201249_instances_with_polygon,184,185,1,16,15,-1
IMG_20230830_220911_instances_with_polygon,185,185,0,15,15,0
IMG_20230831_135555_instances_with_polygon,185,185,0,15,15,0
IMG_20230831_140106_instances_with_polygon,184,184,0,16,16,0
IMG_20230901_202650_instances_with_polygon,184,184,0,16,16,0
IMG_20230902_164058_instances_with_polygon,181,181,0,19,19,0
IMG_20230903_120233_instances_with_polygon,151,149,-2,49,51,2
IMG_20230905_205508_instances_with_polygon,165,165,0,35,35,0
IMG_20230906_191728_instances_with_polygon,176,176,0,24,24,0
IMG_20230907_214323_instances_with_polygon,169,170,1,31,30,-1
IMG_20230930_144752_instances_with_polygon,145,145,0,55,55,0
IMG_20231216_160811_instances_with_polygon,179,181,2,21,19,-2
IMG_20231218_105215_instances_with_polygon,182,183,1,18,17,-1
